price,gender,movement,case_material_category,brand_country,brand_age,warranty_period,dial_color,strap_material,collection_popularity,water_resistance_meters,case_diameter_mm,brand_prestige_level
50970.0,male,automatic,steel,switzerland,171.0,3.0,silver,stainless_steel,160.0,100.0,39.0,1
42200.0,male,quartz,steel,switzerland,194.0,2.0,blue,crocodile,19.0,50.0,40.0,2
252200.0,male,automatic,steel,switzerland,140.0,2.0,black,rubber,15.0,300.0,42.0,3
20690.0,female,quartz,steel,switzerland,171.0,2.0,silver,stainless_steel,160.0,50.0,21.8,1
247000.0,female,quartz,steel,italy,140.0,5.0,silver,stainless_steel,11.0,30.0,33.0,4
14690.0,male,quartz,steel,switzerland,171.0,2.0,black,leather,160.0,100.0,40.0,1
100000.0,female,quartz,steel,switzerland,192.0,2.0,silver,stainless_steel,69.0,30.0,22.0,2
159000.0,male,automatic,steel,switzerland,192.0,5.0,silver,stainless_steel,54.0,50.0,40.0,2
110930.0,male,automatic,gold,switzerland,171.0,2.0,blue,stainless_steel,160.0,100.0,40.0,1
337600.0,male,automatic,steel,switzerland,176.0,5.0,blue,stainless_steel,59.0,50.0,38.0,4
2548000.0,male,automatic,steel,switzerland,171.0,2.0,green,stainless_steel,10.0,100.0,42.3,5
691600.0,male,automatic,steel,switzerland,44.0,2.0,black,rubber,43.0,100.0,44.0,4
29980.0,male,quartz,gold,switzerland,171.0,2.0,blue,rubber,97.0,300.0,38.0,1
309000.0,female,quartz,gold,italy,140.0,5.0,grey,stainless_steel,14.0,30.0,33.0,4
95000.0,male,automatic,steel,switzerland,192.0,5.0,black,stainless_steel,49.0,300.0,43.0,2
44670.0,male,automatic,steel,switzerland,171.0,2.0,green,stainless_steel,160.0,100.0,40.0,1
3328000.0,male,automatic,steel,switzerland,171.0,2.0,skeleton,rubber,10.0,100.0,42.0,5
111800.0,male,quartz,steel,switzerland,171.0,2.0,blue,stainless_steel,38.0,200.0,43.0,3
727500.0,male,manual,ceramic,switzerland,176.0,5.0,black,rubber,25.0,50.0,44.0,4
1388400.0,male,manual,steel,switzerland,171.0,5.0,blue,leather,5.0,30.0,42.0,5
29080.0,male,quartz,steel,switzerland,171.0,2.0,grey,stainless_steel,97.0,300.0,38.0,1
425900.0,male,automatic,steel,italy,164.0,8.0,black,crocodile,37.0,300.0,44.0,4
18290.0,female,quartz,steel,switzerland,171.0,2.0,green,leather,160.0,50.0,21.8,1
75000.0,male,automatic,steel,switzerland,192.0,5.0,blue,stainless_steel,49.0,300.0,44.0,2
320100.0,male,automatic,steel,switzerland,176.0,5.0,blue,stainless_steel,59.0,50.0,41.0,4
52770.0,male,quartz,titanium,switzerland,171.0,2.0,black,silicone,5.0,50.0,44.0,1
429000.0,female,quartz,gold,italy,140.0,5.0,white,steel_gold,11.0,30.0,33.0,4
55770.0,male,automatic,gold,switzerland,171.0,3.0,silver,steel_gold,160.0,100.0,39.0,1
109000.0,male,automatic,steel,switzerland,192.0,5.0,brown,stainless_steel,57.0,100.0,41.0,2
17390.0,female,quartz,steel,switzerland,171.0,2.0,beige,stainless_steel,160.0,50.0,28.0,1
174200.0,male,quartz,carbon,switzerland,140.0,2.0,black,rubber,15.0,100.0,44.0,3
197000.0,male,automatic,steel,switzerland,192.0,5.0,silver,stainless_steel,54.0,30.0,42.0,2
169200.0,male,automatic,steel,switzerland,194.0,2.0,skeleton,rubber,45.0,100.0,42.0,2
19490.0,male,quartz,gold,switzerland,171.0,2.0,white,stainless_steel,160.0,100.0,40.0,1
122200.0,male,quartz,steel,switzerland,171.0,2.0,grey,stainless_steel,38.0,200.0,43.0,3
108700.0,male,automatic,steel,switzerland,194.0,8.0,blue,stainless_steel,16.0,50.0,40.0,2
48000.0,male,quartz,steel,switzerland,192.0,2.0,silver,stainless_steel,57.0,300.0,43.0,2
78000.0,female,quartz,steel,switzerland,192.0,2.0,blue,stainless_steel,69.0,30.0,30.0,2
15290.0,female,quartz,steel,switzerland,171.0,2.0,mother_of_pearl,leather,160.0,100.0,34.0,1
31480.0,male,quartz,gold,switzerland,171.0,2.0,grey,steel_gold,97.0,300.0,38.0,1
86000.0,female,quartz,steel,switzerland,192.0,2.0,mother_of_pearl,stainless_steel,57.0,50.0,34.0,2
982800.0,male,automatic,titanium,switzerland,44.0,2.0,blue,rubber,43.0,100.0,42.0,4
265200.0,male,automatic,steel,switzerland,140.0,2.0,black,stainless_steel,15.0,300.0,44.0,3
365300.0,male,automatic,steel,france,171.0,2.0,blue,stainless_steel,19.0,100.0,42.0,3
433000.0,female,quartz,gold,italy,140.0,5.0,black,steel_gold,14.0,30.0,33.0,4
37780.0,male,automatic,steel,switzerland,171.0,2.0,blue,stainless_steel,160.0,100.0,40.0,1
22490.0,female,quartz,gold,switzerland,171.0,2.0,mother_of_pearl,steel_gold,160.0,100.0,34.0,1
499200.0,male,automatic,steel,switzerland,140.0,5.0,blue,stainless_steel,19.0,200.0,40.0,3
153000.0,male,automatic,steel,switzerland,192.0,5.0,brown,crocodile,54.0,50.0,38.0,2
344600.0,male,manual,steel,italy,164.0,8.0,beige,calfskin,14.0,100.0,45.0,4
53000.0,female,quartz,steel,switzerland,192.0,2.0,silver,stainless_steel,57.0,50.0,30.0,2
361400.0,male,automatic,steel,switzerland,140.0,5.0,white,leather,10.0,100.0,38.0,3
96200.0,male,quartz,steel,switzerland,171.0,2.0,white,stainless_steel,38.0,100.0,38.0,3
24290.0,female,quartz,gold,switzerland,171.0,2.0,black,steel_gold,97.0,300.0,36.0,1
167000.0,male,automatic,steel,switzerland,192.0,5.0,black,stainless_steel,36.0,100.0,39.0,2
162300.0,male,automatic,steel,switzerland,194.0,8.0,grey,rubber,45.0,100.0,42.0,2
436500.0,male,automatic,steel,switzerland,176.0,5.0,blue,stainless_steel,59.0,300.0,44.0,4
58760.0,male,quartz,titanium,switzerland,171.0,2.0,black,titanium,5.0,50.0,44.0,1
1154000.0,male,manual,titanium,italy,140.0,5.0,skeleton,rubber,16.0,30.0,40.0,4
167000.0,male,automatic,steel,switzerland,192.0,5.0,anthracite,stainless_steel,36.0,100.0,42.0,2
1456000.0,male,automatic,steel,switzerland,171.0,2.0,purple,leather,7.0,30.0,40.0,5
148800.0,male,automatic,steel,switzerland,194.0,8.0,blue,stainless_steel,45.0,100.0,42.0,2
308500.0,male,automatic,steel,switzerland,176.0,5.0,brown,stainless_steel,59.0,50.0,38.0,4
134000.0,female,automatic,steel,switzerland,192.0,5.0,green,stainless_steel,57.0,100.0,30.0,2
449800.0,female,automatic,steel,switzerland,140.0,5.0,black,crocodile,22.0,30.0,41.0,3
442000.0,unisex,automatic,ceramic,switzerland,44.0,2.0,black,rubber,45.0,50.0,38.0,4
45000.0,male,quartz,steel,switzerland,192.0,2.0,black,stainless_steel,57.0,300.0,41.0,2
454000.0,male,automatic,steel,switzerland,176.0,5.0,white,stainless_steel,59.0,300.0,42.0,4
469000.0,female,automatic,steel,italy,164.0,8.0,white,crocodile,17.0,50.0,38.0,4
27590.0,male,quartz,steel,switzerland,171.0,2.0,grey,rubber,97.0,300.0,38.0,1
320100.0,male,automatic,steel,switzerland,176.0,5.0,black,stainless_steel,59.0,50.0,41.0,4
495000.0,female,automatic,steel,italy,140.0,5.0,pink,stainless_steel,10.0,50.0,33.0,4
119600.0,male,automatic,steel,switzerland,171.0,2.0,blue,leather,11.0,50.0,44.5,1
2698800.0,male,manual,steel,switzerland,171.0,2.0,brown,stainless_steel,10.0,100.0,42.0,5
466000.0,female,automatic,steel,italy,140.0,5.0,black,stainless_steel,11.0,30.0,34.0,4
153000.0,male,automatic,steel,switzerland,192.0,5.0,green,crocodile,54.0,50.0,38.0,2
28790.0,male,quartz,steel,switzerland,171.0,2.0,grey,rubber,97.0,300.0,38.0,1
213200.0,male,automatic,steel,switzerland,171.0,2.0,blue,stainless_steel,38.0,200.0,44.0,3
19790.0,female,quartz,gold,switzerland,171.0,2.0,silver,steel_gold,23.0,30.0,20.0,1
469000.0,male,automatic,steel,italy,164.0,8.0,blue,rubber,37.0,100.0,40.0,4
293000.0,female,quartz,steel,italy,140.0,5.0,pink,stainless_steel,10.0,50.0,28.0,4
136000.0,male,automatic,steel,switzerland,192.0,5.0,blue,stainless_steel,54.0,30.0,42.0,2
93400.0,female,quartz,steel,switzerland,194.0,2.0,black,stainless_steel,45.0,50.0,36.0,2
87400.0,male,automatic,steel,switzerland,171.0,2.0,black,leather,23.0,50.0,44.5,1
37780.0,male,automatic,steel,switzerland,171.0,2.0,multicolor,stainless_steel,160.0,100.0,40.0,1
495000.0,female,quartz,gold,italy,140.0,5.0,mother_of_pearl,steel_gold,14.0,30.0,33.0,4
382200.0,male,automatic,steel,switzerland,140.0,5.0,blue,stainless_steel,10.0,100.0,41.0,3
